time,date_jst,path,method,status_code,request_id,user_id
2022-10-12T21:31:35Z,2022-10-13,/items/10005,GET,200,44a08f04-38d5-47fa-9528-be5c6c50ffd7,200001
2022-10-25T01:28:01Z,2022-10-25,/items/10003,GET,200,3c2d78f2-6583-4db1-a955-8c846539a287,200001
2022-10-08T13:34:15Z,2022-10-08,/items/10009,GET,200,833441c4-0f72-4c90-b252-e759754bb674,200001
2022-10-21T09:21:31Z,2022-10-21,/items/10001,GET,200,77d977b9-fc2c-4743-97b1-8990c2228cb9,200001
2022-10-24T13:16:16Z,2022-10-24,/items/10008,GET,200,550f44cd-3542-486d-90d0-ea2d21900dc9,200001
2022-10-10T05:45:21Z,2022-10-10,/items/10007,GET,200,1a965087-f548-4513-8ba6-54e52c248706,200001
2022-10-24T19:02:29Z,2022-10-25,/items/10004,GET,200,8cc6be44-5fb8-4a9a-a92b-6bc76bd8f839,200001
2022-10-08T08:17:32Z,2022-10-08,/items/10003,GET,200,221a9c1e-f3ad-42df-8f3b-ff1acf07d6ce,200001
2022-10-12T03:33:15Z,2022-10-12,/signup,GET,200,b715b92f-4f1d-4b44-ba0b-e95c3850cb68,200001
2022-10-12T03:36:10Z,2022-10-12,/signup,POST,302,41f637d5-9f34-4583-a6b4-1af8bd4f1a42,200001
2022-10-12T06:20:10Z,2022-10-12,/signup/activate,GET,200,3b09363d-6873-45fb-8716-876f121d8c0d,200001
2022-10-12T06:20:23Z,2022-10-12,/signup/activate,POST,302,f18b4813-6d56-48ee-9356-b75444d9b134,200001
2022-10-03T15:57:49Z,2022-10-04,/cart,GET,200,67556f36-6c10-4ccb-b6dc-e2f9524798b9,200001
2022-10-03T15:58:12Z,2022-10-04,/checkout,POST,302,8658e7d5-a81e-4ae6-b697-479f71ae3eec,200001
2022-10-03T15:58:13Z,2022-10-04,/checkout/complete,GET,200,99b0d7ef-59f4-4dae-9e47-fece6a934cfc,200001
2022-10-03T15:55:38Z,2022-10-04,/items/10010,GET,200,1044b5b2-99b2-4c69-9a3c-87413993c85d,200001
2022-10-03T15:55:43Z,2022-10-04,/cart,POST,302,483fecd7-78cf-4454-be51-ebd62ecbc430,200001
2022-10-03T15:51:32Z,2022-10-04,/items/10006,GET,200,3bc649b8-c9a9-4d73-9139-6fd65cee544e,200001
2022-10-03T15:51:50Z,2022-10-04,/cart,POST,302,39bce867-137d-49b5-9bfc-676c1c81d128,200001
2022-10-03T15:51:13Z,2022-10-04,/items/10009,GET,200,77d2f289-6e58-45f3-baf3-c8cb3c88ae0a,200001
2022-10-03T15:51:22Z,2022-10-04,/cart,POST,302,a1f8537d-6c25-4f00-a359-8222addcc76d,200001
2022-10-03T21:26:43Z,2022-10-04,/cart,GET,200,64bba6d2-e719-4056-bc89-cbb6caf5bfcf,200001
2022-10-03T21:26:49Z,2022-10-04,/checkout,POST,302,da7298be-0557-4b81-b5d0-577c0f974a19,200001
2022-10-03T21:26:50Z,2022-10-04,/checkout/complete,GET,200,6218c1fb-82dd-4e6f-a750-853a5de1e158,200001
2022-10-03T21:23:31Z,2022-10-04,/items/10003,GET,200,c6ac3306-f517-4a25-b7b8-7ec1535516a3,200001
