id,user_id,ordered_at,total
5001,200001,2022-10-03T15:58:12Z,1984
5002,200001,2022-10-03T21:26:49Z,1806
5003,200001,2022-10-04T04:20:01Z,895
5004,200001,2022-10-05T19:17:53Z,3781
5005,200001,2022-10-06T01:30:15Z,396
5006,200001,2022-10-06T23:28:22Z,398
5007,200001,2022-10-07T16:17:18Z,2489
5008,200001,2022-10-08T11:48:03Z,897
5009,200001,2022-10-10T09:31:54Z,1393
5010,200002,2022-10-01T15:55:37Z,3081
5011,200002,2022-10-01T19:34:52Z,753
5012,200003,2022-10-10T23:53:55Z,6632
5013,200003,2022-10-12T16:34:28Z,358
5014,200003,2022-10-14T16:52:36Z,8104
5015,200003,2022-10-15T08:26:35Z,3991
5016,200003,2022-10-16T17:25:53Z,2286
5017,200003,2022-10-17T19:45:52Z,4797
5018,200004,2022-10-14T00:04:53Z,4613
5019,200005,2022-10-11T08:11:21Z,2590
5020,200005,2022-10-11T15:54:31Z,1569
5021,200005,2022-10-13T12:15:27Z,5616
5022,200005,2022-10-14T07:14:42Z,1593
5023,200005,2022-10-15T06:50:25Z,3381
5024,200005,2022-10-15T07:58:47Z,4201
5025,200006,2022-10-18T17:33:48Z,6462
5026,200006,2022-10-20T06:28:01Z,7346
5027,200006,2022-10-22T01:30:06Z,4957
5028,200006,2022-10-22T14:50:17Z,1539
5029,200006,2022-10-23T03:42:04Z,1163
5030,200008,2022-10-06T14:37:05Z,5272
5031,200008,2022-10-06T23:02:42Z,2392
5032,200010,2022-10-15T13:03:58Z,7537
5033,200010,2022-10-17T06:56:05Z,9540
5034,200010,2022-10-18T06:14:10Z,4560
5035,200010,2022-10-18T16:14:51Z,4639
5036,200010,2022-10-19T17:10:30Z,6674
5037,200010,2022-10-21T11:11:30Z,4436
5038,200010,2022-10-22T08:56:42Z,11300
5039,200010,2022-10-23T01:36:53Z,6996
5040,200011,2022-10-19T10:34:02Z,3043
5041,200011,2022-10-19T17:56:44Z,2530
5042,200011,2022-10-21T01:11:26Z,2343
5043,200011,2022-10-21T12:53:15Z,3990
5044,200011,2022-10-21T21:46:12Z,4079
5045,200011,2022-10-22T13:05:11Z,3436
5046,200011,2022-10-24T02:56:29Z,4033
5047,200012,2022-10-01T14:07:18Z,2783
5048,200012,2022-10-02T09:29:20Z,4942
5049,200012,2022-10-03T19:09:53Z,7999
5050,200012,2022-10-05T13:35:04Z,3367
5051,200013,2022-10-21T21:47:32Z,4081
5052,200014,2022-10-15T02:38:39Z,6904
5053,200014,2022-10-16T11:38:38Z,6312
5054,200015,2022-10-01T15:47:08Z,6464
5055,200015,2022-10-03T01:23:59Z,6270
5056,200015,2022-10-04T20:45:12Z,3161
5057,200016,2022-10-03T07:29:43Z,297
5058,200016,2022-10-04T17:25:51Z,897
5059,200016,2022-10-05T12:35:02Z,6078
5060,200017,2022-10-08T11:25:45Z,3535
5061,200017,2022-10-08T21:31:55Z,2548
5062,200017,2022-10-09T22:23:02Z,2652
5063,200017,2022-10-11T05:12:57Z,1875
5064,200017,2022-10-11T08:46:33Z,9421
5065,200017,2022-10-12T13:10:42Z,4393
5066,200017,2022-10-13T10:22:28Z,4583
5067,200018,2022-10-17T16:58:55Z,2047
5068,200018,2022-10-18T05:43:42Z,1990
5069,200018,2022-10-18T19:06:28Z,5848
5070,200018,2022-10-20T12:48:49Z,1313
5071,200018,2022-10-22T13:43:30Z,6653
5072,200020,2022-10-05T18:56:03Z,3225
5073,200024,2022-10-20T14:43:38Z,1899
5074,200024,2022-10-21T21:36:43Z,795
5075,200024,2022-10-21T23:59:54Z,3677
5076,200024,2022-10-22T17:06:30Z,4898
5077,200025,2022-10-18T15:15:36Z,8102
5078,200025,2022-10-20T13:47:24Z,4359
5079,200025,2022-10-21T11:02:26Z,2093
5080,200026,2022-10-03T03:38:39Z,3727
5081,200026,2022-10-04T21:42:30Z,4325
5082,200026,2022-10-05T00:39:44Z,4296
5083,200027,2022-10-17T05:09:33Z,2688
5084,200027,2022-10-19T04:32:01Z,3891
5085,200029,2022-10-17T23:48:24Z,5654
5086,200029,2022-10-18T02:20:18Z,2186
5087,200031,2022-10-16T23:54:38Z,7477
5088,200031,2022-10-18T13:52:53Z,897
5089,200031,2022-10-19T11:38:17Z,3450
5090,200031,2022-10-20T18:19:09Z,3110
5091,200031,2022-10-22T00:55:36Z,6493
5092,200031,2022-10-22T12:09:09Z,780
5093,200031,2022-10-23T06:41:15Z,5324
5094,200032,2022-10-11T20:42:46Z,2045
5095,200032,2022-10-13T21:25:22Z,693
5096,200032,2022-10-15T20:25:10Z,3837
5097,200032,2022-10-17T16:53:22Z,5518
5098,200032,2022-10-19T16:45:07Z,6374
5099,200032,2022-10-21T01:14:37Z,7939
5100,200032,2022-10-21T06:13:43Z,8776
5101,200034,2022-10-16T20:22:30Z,2428
5102,200034,2022-10-18T17:19:51Z,1475
5103,200034,2022-10-18T23:48:57Z,4295
5104,200034,2022-10-20T00:41:10Z,4043
5105,200034,2022-10-20T20:19:01Z,3289
5106,200034,2022-10-21T12:52:02Z,1692
5107,200034,2022-10-21T15:09:58Z,8758
5108,200036,2022-10-17T08:52:49Z,3897
5109,200036,2022-10-18T08:04:02Z,11306
5110,200036,2022-10-18T23:49:34Z,5674
5111,200036,2022-10-20T08:53:37Z,773
5112,200036,2022-10-20T18:55:19Z,7636
5113,200037,2022-10-01T05:43:42Z,2326
5114,200037,2022-10-03T01:59:27Z,5766
5115,200037,2022-10-04T13:04:10Z,4677
5116,200037,2022-10-06T06:50:32Z,1287
5117,200037,2022-10-06T17:46:29Z,6464
5118,200037,2022-10-07T05:01:04Z,2946
5119,200037,2022-10-08T14:48:38Z,4945
5120,200037,2022-10-09T03:15:32Z,4813
5121,200037,2022-10-09T09:57:35Z,9373
5122,200039,2022-10-19T06:20:18Z,9556
5123,200039,2022-10-19T09:55:21Z,8524
5124,200039,2022-10-20T00:48:15Z,6441
5125,200039,2022-10-21T02:59:41Z,716
5126,200041,2022-10-02T11:43:05Z,6085
5127,200041,2022-10-03T04:24:59Z,3384
5128,200041,2022-10-04T14:15:57Z,4975
5129,200041,2022-10-05T20:59:11Z,3133
5130,200041,2022-10-07T11:06:41Z,495
5131,200042,2022-10-25T02:20:20Z,198
5132,200042,2022-10-26T06:30:26Z,8914
5133,200042,2022-10-26T12:23:15Z,1431
5134,200042,2022-10-27T11:07:20Z,888
5135,200042,2022-10-28T11:33:20Z,1373
5136,200042,2022-10-29T01:11:19Z,6718
5137,200042,2022-10-29T15:33:55Z,4507
5138,200042,2022-10-30T00:55:47Z,7117
5139,200043,2022-10-05T22:55:29Z,2066
5140,200043,2022-10-07T05:04:45Z,3187
5141,200043,2022-10-08T14:47:31Z,1293
5142,200043,2022-10-08T22:50:01Z,1514
5143,200043,2022-10-09T20:25:27Z,780
5144,200043,2022-10-11T08:01:23Z,4479
5145,200043,2022-10-13T00:23:09Z,8294
5146,200043,2022-10-15T00:10:08Z,1182
5147,200045,2022-09-30T23:48:05Z,3501
5148,200045,2022-10-01T05:17:55Z,2949
5149,200045,2022-10-01T06:54:52Z,2501
5150,200045,2022-10-03T06:37:40Z,6746
5151,200047,2022-10-04T19:03:39Z,1489
5152,200047,2022-10-05T01:27:56Z,6124
5153,200047,2022-10-05T17:00:50Z,4601
5154,200047,2022-10-06T12:58:22Z,4319
5155,200047,2022-10-06T23:35:19Z,3881
5156,200048,2022-10-10T08:06:42Z,894
5157,200048,2022-10-10T12:26:23Z,2868
5158,200048,2022-10-10T16:30:32Z,5888
5159,200048,2022-10-11T20:45:02Z,6517
5160,200049,2022-10-16T11:58:08Z,4885
5161,200049,2022-10-18T08:25:39Z,2226
5162,200049,2022-10-19T03:51:21Z,903
5163,200049,2022-10-20T03:28:21Z,3346
5164,200049,2022-10-20T14:17:16Z,4002
5165,200050,2022-10-10T17:33:44Z,4253
5166,200050,2022-10-12T16:45:10Z,9552
5167,200050,2022-10-13T17:21:11Z,6449
5168,200050,2022-10-13T20:31:22Z,7191
5169,200050,2022-10-14T09:51:39Z,1630
5170,200050,2022-10-15T08:52:07Z,1990
5171,200050,2022-10-16T00:46:09Z,3586
5172,200050,2022-10-17T05:40:24Z,1493
5173,200050,2022-10-17T19:56:51Z,1394
5174,200052,2022-10-07T09:33:42Z,3657
5175,200053,2022-10-08T01:19:42Z,1488
5176,200055,2022-10-02T12:16:05Z,5326
5177,200055,2022-10-03T02:54:00Z,4889
5178,200055,2022-10-03T13:14:24Z,3382
5179,200055,2022-10-05T04:19:20Z,4579
5180,200055,2022-10-06T23:34:24Z,2129
5181,200055,2022-10-08T22:04:45Z,3608
5182,200055,2022-10-09T04:04:11Z,1272
5183,200055,2022-10-10T14:41:50Z,3800
5184,200056,2022-10-11T21:10:01Z,1394
5185,200056,2022-10-12T02:49:51Z,2098
5186,200056,2022-10-13T19:48:20Z,5931
5187,200056,2022-10-15T04:20:43Z,796
5188,200056,2022-10-16T10:27:27Z,6325
5189,200056,2022-10-16T16:56:14Z,4878
5190,200056,2022-10-18T16:41:25Z,6631
5191,200056,2022-10-18T18:30:58Z,2328
5192,200056,2022-10-20T10:53:47Z,4516
5193,200058,2022-10-12T14:54:43Z,2623
5194,200058,2022-10-13T21:31:02Z,6954
5195,200058,2022-10-15T10:54:59Z,8220
5196,200058,2022-10-16T22:46:55Z,5872
5197,200058,2022-10-18T22:01:19Z,1391
5198,200058,2022-10-19T08:05:46Z,1272
5199,200058,2022-10-20T22:25:45Z,2284
5200,200058,2022-10-21T05:44:52Z,1383
5201,200060,2022-09-30T18:56:12Z,4380
5202,200060,2022-10-01T07:22:25Z,2923
5203,200061,2022-10-19T23:19:42Z,2671
5204,200063,2022-10-09T00:14:40Z,99
5205,200063,2022-10-09T16:20:22Z,6677
5206,200063,2022-10-11T06:20:36Z,4363
5207,200063,2022-10-12T16:02:41Z,299
5208,200063,2022-10-14T00:05:46Z,5770
5209,200063,2022-10-15T22:08:04Z,5843
5210,200063,2022-10-16T02:37:22Z,6660
5211,200063,2022-10-16T12:50:12Z,1992
5212,200063,2022-10-18T05:24:18Z,4045
5213,200064,2022-10-18T20:00:18Z,6114
5214,200065,2022-10-11T08:47:33Z,4516
5215,200065,2022-10-11T15:23:51Z,1291
5216,200065,2022-10-11T19:52:54Z,1432
5217,200066,2022-10-13T11:43:33Z,6793
5218,200066,2022-10-14T03:21:51Z,2184
5219,200066,2022-10-14T06:38:22Z,5168
5220,200066,2022-10-15T09:47:37Z,1854
5221,200067,2022-10-06T20:17:07Z,5441
5222,200067,2022-10-08T19:41:36Z,7182
5223,200067,2022-10-10T04:15:46Z,1196
5224,200067,2022-10-12T04:09:45Z,11812
5225,200068,2022-10-09T08:44:06Z,2070
5226,200068,2022-10-11T08:25:59Z,979
5227,200068,2022-10-12T17:50:46Z,2986
5228,200068,2022-10-13T15:13:05Z,990
5229,200068,2022-10-14T16:04:50Z,6931
5230,200068,2022-10-16T10:00:30Z,3899
5231,200069,2022-10-16T20:29:39Z,1933
5232,200069,2022-10-18T16:37:55Z,1779
5233,200070,2022-10-10T23:48:07Z,5505
5234,200071,2022-10-09T16:58:57Z,7246
5235,200071,2022-10-11T01:27:07Z,5385
5236,200071,2022-10-11T10:20:34Z,4471
5237,200071,2022-10-12T18:58:19Z,6904
5238,200073,2022-10-25T13:34:37Z,795
5239,200073,2022-10-26T05:48:05Z,7108
5240,200074,2022-10-01T02:25:58Z,3634
5241,200074,2022-10-02T04:57:46Z,693
5242,200074,2022-10-02T16:40:58Z,5282
5243,200074,2022-10-04T10:40:15Z,792
5244,200074,2022-10-05T09:46:21Z,8356
5245,200075,2022-10-03T13:35:28Z,598
5246,200075,2022-10-03T19:00:21Z,6098
5247,200076,2022-10-09T16:45:09Z,396
5248,200076,2022-10-10T10:47:35Z,9069
5249,200076,2022-10-11T15:34:10Z,5308
5250,200076,2022-10-12T05:33:32Z,7542
5251,200076,2022-10-12T12:43:55Z,3814
5252,200076,2022-10-12T15:27:37Z,700
5253,200076,2022-10-14T15:28:46Z,7237
5254,200077,2022-10-09T00:42:31Z,2291
5255,200077,2022-10-09T13:34:39Z,6758
5256,200077,2022-10-10T10:13:35Z,6765
5257,200077,2022-10-10T16:24:17Z,1393
5258,200077,2022-10-11T23:22:25Z,9110
5259,200077,2022-10-13T11:43:50Z,3287
5260,200078,2022-10-10T00:00:20Z,297
5261,200078,2022-10-11T01:34:23Z,8029
5262,200078,2022-10-11T22:54:53Z,7883
5263,200078,2022-10-13T00:23:50Z,2758
5264,200078,2022-10-13T16:51:57Z,4635
5265,200078,2022-10-14T15:57:23Z,4479
5266,200078,2022-10-15T06:13:04Z,2668
5267,200078,2022-10-15T10:50:23Z,6632
5268,200078,2022-10-15T18:46:26Z,2859
5269,200079,2022-10-07T21:34:25Z,1560
5270,200080,2022-10-05T20:33:40Z,1089
5271,200080,2022-10-05T23:38:32Z,1948
5272,200081,2022-10-22T00:56:55Z,2591
5273,200081,2022-10-22T04:04:06Z,6481
5274,200082,2022-10-06T15:26:02Z,636
5275,200084,2022-10-07T15:05:25Z,3193
5276,200084,2022-10-09T02:56:57Z,5646
5277,200084,2022-10-10T02:59:56Z,2310
5278,200084,2022-10-11T04:26:43Z,6135
5279,200084,2022-10-12T16:29:48Z,2886
5280,200084,2022-10-12T22:58:10Z,4951
5281,200084,2022-10-13T12:14:29Z,1750
5282,200084,2022-10-13T18:47:14Z,5909
5283,200084,2022-10-15T13:05:27Z,299
5284,200085,2022-10-03T02:59:45Z,3485
5285,200085,2022-10-03T21:04:29Z,792
5286,200085,2022-10-05T07:58:13Z,7665
5287,200085,2022-10-06T13:48:34Z,6069
5288,200085,2022-10-06T19:19:54Z,5080
5289,200085,2022-10-07T10:16:09Z,6341
5290,200085,2022-10-08T18:01:29Z,5974
5291,200086,2022-10-14T19:15:57Z,4149
5292,200086,2022-10-15T21:38:19Z,3124
5293,200086,2022-10-17T15:42:33Z,6978
5294,200086,2022-10-19T01:50:15Z,6453
5295,200086,2022-10-19T12:56:25Z,8373
5296,200086,2022-10-20T19:11:57Z,598
5297,200087,2022-10-02T13:48:32Z,4440
5298,200087,2022-10-03T21:51:34Z,4337
5299,200087,2022-10-05T09:14:45Z,7041
5300,200087,2022-10-05T21:14:44Z,2769
5301,200087,2022-10-07T14:07:57Z,598
5302,200088,2022-10-02T23:50:45Z,6426
5303,200090,2022-10-10T10:35:08Z,6571
5304,200090,2022-10-11T16:29:08Z,3386
5305,200090,2022-10-12T10:26:28Z,792
5306,200090,2022-10-13T04:59:12Z,5395
5307,200090,2022-10-13T10:20:01Z,396
5308,200091,2022-10-01T22:34:19Z,1394
5309,200091,2022-10-02T11:30:36Z,7296
5310,200091,2022-10-03T12:47:04Z,6330
5311,200091,2022-10-04T04:40:59Z,4757
5312,200091,2022-10-04T12:20:08Z,3336
5313,200091,2022-10-05T13:33:53Z,1988
5314,200091,2022-10-06T22:26:04Z,4215
5315,200091,2022-10-07T14:46:30Z,5689
5316,200091,2022-10-08T17:48:21Z,1790
5317,200092,2022-10-04T07:02:33Z,1365
5318,200092,2022-10-05T18:27:35Z,3083
5319,200092,2022-10-07T13:37:21Z,891
5320,200093,2022-10-12T10:58:44Z,1471
5321,200093,2022-10-14T02:19:45Z,3021
5322,200093,2022-10-15T23:48:36Z,780
5323,200093,2022-10-17T22:48:45Z,4350
5324,200093,2022-10-18T06:09:19Z,5109
5325,200093,2022-10-20T03:46:29Z,4479
5326,200094,2022-10-06T00:58:14Z,2487
5327,200094,2022-10-07T22:50:10Z,5529
5328,200094,2022-10-09T18:37:06Z,2981
5329,200094,2022-10-10T06:25:46Z,796
5330,200094,2022-10-10T14:49:59Z,4222
5331,200095,2022-10-02T13:15:30Z,1712
5332,200095,2022-10-03T17:13:24Z,4009
5333,200095,2022-10-04T09:48:29Z,1495
5334,200096,2022-10-06T06:55:35Z,4539
5335,200096,2022-10-07T19:20:20Z,495
5336,200096,2022-10-09T07:15:37Z,4997
5337,200096,2022-10-09T20:24:49Z,6016
5338,200096,2022-10-11T08:39:58Z,3327
5339,200096,2022-10-13T01:24:38Z,4641
5340,200096,2022-10-14T21:34:50Z,3881
5341,200096,2022-10-15T10:39:28Z,4628
5342,200096,2022-10-17T04:40:53Z,298
5343,200097,2022-10-13T17:26:23Z,4348
5344,200097,2022-10-14T11:01:45Z,4313
5345,200097,2022-10-14T19:40:48Z,7354
5346,200097,2022-10-15T19:05:41Z,2383
5347,200097,2022-10-15T23:28:35Z,2386
5348,200097,2022-10-17T16:53:51Z,8428
5349,200097,2022-10-19T03:27:04Z,7098
5350,200097,2022-10-20T14:36:41Z,195
5351,200098,2022-10-08T14:18:36Z,4371
5352,200098,2022-10-08T23:53:25Z,891
5353,200098,2022-10-09T21:53:07Z,4709
5354,200098,2022-10-10T08:07:13Z,2348
5355,200098,2022-10-11T15:00:28Z,6548
5356,200098,2022-10-12T08:32:36Z,895
5357,200098,2022-10-13T06:01:23Z,318
5358,200098,2022-10-15T01:01:43Z,1611
5359,200098,2022-10-15T14:54:19Z,7873
5360,200099,2022-10-17T20:28:49Z,1092
5361,200100,2022-10-06T02:24:06Z,5846
5362,200100,2022-10-07T19:14:37Z,5527
5363,200100,2022-10-08T17:23:55Z,6250
5364,200100,2022-10-08T18:33:41Z,4715
5365,200100,2022-10-09T15:53:12Z,3575
5366,200100,2022-10-09T23:59:23Z,2567
5367,200101,2022-10-13T14:24:37Z,2391
5368,200101,2022-10-14T11:15:51Z,5653
5369,200101,2022-10-16T01:28:55Z,7898
5370,200101,2022-10-17T05:20:59Z,5379
5371,200101,2022-10-17T15:09:38Z,4020
5372,200101,2022-10-18T00:52:48Z,4820
5373,200103,2022-10-04T04:10:48Z,4248
5374,200103,2022-10-04T17:30:16Z,7450
5375,200105,2022-10-04T19:35:44Z,1918
5376,200105,2022-10-06T00:19:32Z,8463
5377,200105,2022-10-06T06:35:39Z,7027
5378,200105,2022-10-07T08:11:29Z,7790
